policyID,agecat,valuecat,period,numclaims,claim
79,5,3,1,0,0
79,5,3,2,0,0
79,5,3,3,0,0
80,4,9,1,0,0
80,4,9,2,0,0
80,4,9,3,0,0
81,10,9,1,0,0
81,10,9,2,0,0
81,10,9,3,0,0
82,2,2,1,0,0
82,2,2,2,0,0
82,2,2,3,0,0
83,2,2,1,0,0
83,2,2,2,1,1
83,2,2,3,1,1
84,10,9,1,0,0
84,10,9,2,0,0
84,10,9,3,0,0
85,5,2,1,1,1
85,5,2,2,0,0
85,5,2,3,0,0
86,2,9,1,0,0
86,2,9,2,0,0
86,2,9,3,0,0
87,10,9,1,0,0
87,10,9,2,0,0
87,10,9,3,0,0
88,4,9,1,0,0
88,4,9,2,0,0
88,4,9,3,0,0
89,4,2,1,0,0
89,4,2,2,1,1
89,4,2,3,0,0
90,4,9,1,0,0
90,4,9,2,0,0
90,4,9,3,0,0
91,4,9,1,0,0
91,4,9,2,0,0
91,4,9,3,1,1
92,2,9,1,0,0
92,2,9,2,0,0
92,2,9,3,1,1
93,4,9,1,0,0
93,4,9,2,0,0
93,4,9,3,1,1
94,2,9,1,0,0
94,2,9,2,0,0
94,2,9,3,0,0
95,2,2,1,0,0
95,2,2,2,0,0
95,2,2,3,0,0
96,5,2,1,0,0
96,5,2,2,0,0
96,5,2,3,0,0
97,1,9,1,0,0
97,1,9,2,0,0
97,1,9,3,0,0
98,4,9,1,0,0
98,4,9,2,0,0
98,4,9,3,1,1
99,5,9,1,0,0
99,5,9,2,0,0
99,5,9,3,0,0
100,1,9,1,0,0
100,1,9,2,0,0
100,1,9,3,0,0
101,4,9,1,0,0
101,4,9,2,0,0
101,4,9,3,0,0
102,4,9,1,0,0
102,4,9,2,0,0
102,4,9,3,0,0
103,2,9,1,0,0
103,2,9,2,0,0
103,2,9,3,0,0
104,10,2,1,1,1
104,10,2,2,0,0
104,10,2,3,0,0
105,6,9,1,0,0
105,6,9,2,0,0
105,6,9,3,0,0
106,10,2,1,1,1
106,10,2,2,1,1
106,10,2,3,4,1
107,10,9,1,0,0
107,10,9,2,0,0
107,10,9,3,0,0
108,2,9,1,0,0
108,2,9,2,0,0
108,2,9,3,0,0
109,10,9,1,0,0
109,10,9,2,0,0
109,10,9,3,0,0
110,2,2,1,0,0
110,2,2,2,0,0
110,2,2,3,0,0
111,4,9,1,0,0
111,4,9,2,0,0
111,4,9,3,0,0
112,4,9,1,0,0
112,4,9,2,0,0
112,4,9,3,0,0
113,4,9,1,0,0
113,4,9,2,1,1
113,4,9,3,0,0
114,5,9,1,1,1
114,5,9,2,0,0
114,5,9,3,0,0
115,2,9,1,0,0
115,2,9,2,0,0
115,2,9,3,1,1
116,2,9,1,3,1
116,2,9,2,4,1
116,2,9,3,1,1
117,5,9,1,2,1
117,5,9,2,0,0
117,5,9,3,2,1
118,10,9,1,0,0
118,10,9,2,1,1
118,10,9,3,0,0
119,5,2,1,1,1
119,5,2,2,1,1
119,5,2,3,0,0
120,6,9,1,1,1
120,6,9,2,0,0
120,6,9,3,1,1
121,2,9,1,0,0
121,2,9,2,0,0
121,2,9,3,0,0
122,2,2,1,0,0
122,2,2,2,0,0
122,2,2,3,2,1
123,6,9,1,0,0
123,6,9,2,0,0
123,6,9,3,0,0
124,5,9,1,0,0
124,5,9,2,0,0
124,5,9,3,0,0
125,4,2,1,0,0
125,4,2,2,0,0
125,4,2,3,0,0
126,10,2,1,0,0
126,10,2,2,0,0
126,10,2,3,0,0
127,5,9,1,1,1
127,5,9,2,0,0
127,5,9,3,1,1
128,1,2,1,0,0
128,1,2,2,1,1
128,1,2,3,0,0
129,4,9,1,0,0
129,4,9,2,0,0
129,4,9,3,0,0
130,5,9,1,0,0
130,5,9,2,0,0
130,5,9,3,0,0
131,2,9,1,0,0
131,2,9,2,0,0
131,2,9,3,0,0
132,1,2,1,1,1
132,1,2,2,0,0
132,1,2,3,3,1
133,1,9,1,0,0
133,1,9,2,0,0
133,1,9,3,1,1
134,5,9,1,0,0
134,5,9,2,0,0
134,5,9,3,0,0
135,1,9,1,0,0
135,1,9,2,0,0
135,1,9,3,0,0
136,2,9,1,0,0
136,2,9,2,0,0
136,2,9,3,0,0
137,5,2,1,0,0
137,5,2,2,0,0
137,5,2,3,0,0
138,10,9,1,0,0
138,10,9,2,0,0
138,10,9,3,0,0
139,5,9,1,0,0
139,5,9,2,0,0
139,5,9,3,0,0
140,10,2,1,1,1
140,10,2,2,0,0
140,10,2,3,2,1
141,10,9,1,0,0
141,10,9,2,0,0
141,10,9,3,0,0
142,10,9,1,0,0
142,10,9,2,1,1
142,10,9,3,0,0
143,10,9,1,0,0
143,10,9,2,2,1
143,10,9,3,2,1
144,4,9,1,0,0
144,4,9,2,0,0
144,4,9,3,0,0
145,6,9,1,0,0
145,6,9,2,0,0
145,6,9,3,0,0
146,10,9,1,0,0
146,10,9,2,0,0
146,10,9,3,0,0
147,6,9,1,0,0
147,6,9,2,0,0
147,6,9,3,0,0
148,10,9,1,0,0
148,10,9,2,0,0
148,10,9,3,0,0
149,5,9,1,0,0
149,5,9,2,2,1
149,5,9,3,1,1
150,4,9,1,0,0
150,4,9,2,0,0
150,4,9,3,0,0
151,5,2,1,0,0
151,5,2,2,0,0
151,5,2,3,0,0
152,6,9,1,0,0
152,6,9,2,0,0
152,6,9,3,0,0
153,6,9,1,2,1
153,6,9,2,1,1
153,6,9,3,2,1
154,5,9,1,0,0
154,5,9,2,0,0
154,5,9,3,0,0
155,5,9,1,0,0
155,5,9,2,0,0
155,5,9,3,0,0
156,4,9,1,0,0
156,4,9,2,3,1
156,4,9,3,5,1
157,5,9,1,0,0
157,5,9,2,0,0
157,5,9,3,0,0
158,5,9,1,0,0
158,5,9,2,0,0
158,5,9,3,0,0
159,5,9,1,0,0
159,5,9,2,1,1
159,5,9,3,0,0
160,6,9,1,0,0
160,6,9,2,1,1
160,6,9,3,0,0
161,6,9,1,0,0
161,6,9,2,0,0
161,6,9,3,0,0
162,6,2,1,0,0
162,6,2,2,0,0
162,6,2,3,0,0
163,10,9,1,0,0
163,10,9,2,0,0
163,10,9,3,0,0
164,5,9,1,0,0
164,5,9,2,0,0
164,5,9,3,0,0
165,6,9,1,0,0
165,6,9,2,1,1
165,6,9,3,0,0
166,2,2,1,0,0
166,2,2,2,0,0
166,2,2,3,0,0
167,5,9,1,0,0
167,5,9,2,0,0
167,5,9,3,0,0
168,4,2,1,0,0
168,4,2,2,0,0
168,4,2,3,0,0
169,6,9,1,0,0
169,6,9,2,0,0
169,6,9,3,0,0
170,2,9,1,0,0
170,2,9,2,1,1
170,2,9,3,1,1
171,6,9,1,0,0
171,6,9,2,0,0
171,6,9,3,0,0
172,5,9,1,0,0
172,5,9,2,0,0
172,5,9,3,0,0
173,2,9,1,5,1
173,2,9,2,5,1
173,2,9,3,4,1
174,10,9,1,2,1
174,10,9,2,0,0
174,10,9,3,2,1
175,4,3,1,0,0
175,4,3,2,0,0
175,4,3,3,0,0
176,6,3,1,0,0
176,6,3,2,0,0
176,6,3,3,0,0
177,4,9,1,0,0
177,4,9,2,0,0
177,4,9,3,0,0
178,2,9,1,0,0
178,2,9,2,0,0
178,2,9,3,0,0
179,10,2,1,0,0
179,10,2,2,0,0
179,10,2,3,0,0
180,2,9,1,0,0
180,2,9,2,0,0
180,2,9,3,0,0
181,2,9,1,0,0
181,2,9,2,0,0
181,2,9,3,1,1
182,5,9,1,0,0
182,5,9,2,1,1
182,5,9,3,0,0
183,2,9,1,0,0
183,2,9,2,0,0
183,2,9,3,0,0
184,1,2,1,0,0
184,1,2,2,0,0
184,1,2,3,0,0
185,10,9,1,0,0
185,10,9,2,0,0
185,10,9,3,0,0
186,1,9,1,0,0
186,1,9,2,0,0
186,1,9,3,0,0
187,2,9,1,0,0
187,2,9,2,0,0
187,2,9,3,0,0
188,10,9,1,0,0
188,10,9,2,0,0
188,10,9,3,0,0
189,10,3,1,0,0
189,10,3,2,0,0
189,10,3,3,0,0
190,4,9,1,0,0
190,4,9,2,0,0
190,4,9,3,0,0
191,5,9,1,0,0
191,5,9,2,0,0
191,5,9,3,0,0
192,5,2,1,0,0
192,5,2,2,0,0
192,5,2,3,0,0
193,4,9,1,0,0
193,4,9,2,0,0
193,4,9,3,0,0
194,6,9,1,0,0
194,6,9,2,0,0
194,6,9,3,0,0
195,1,9,1,0,0
195,1,9,2,0,0
195,1,9,3,0,0
196,4,9,1,0,0
196,4,9,2,0,0
196,4,9,3,0,0
197,2,2,1,0,0
197,2,2,2,0,0
197,2,2,3,0,0
198,6,9,1,0,0
198,6,9,2,1,1
198,6,9,3,0,0
199,10,9,1,0,0
199,10,9,2,0,0
199,10,9,3,0,0
200,5,9,1,0,0
200,5,9,2,0,0
200,5,9,3,0,0
201,10,9,1,0,0
201,10,9,2,0,0
201,10,9,3,0,0
202,10,9,1,0,0
202,10,9,2,1,1
202,10,9,3,1,1
203,4,9,1,0,0
203,4,9,2,0,0
203,4,9,3,0,0
204,4,9,1,0,0
204,4,9,2,0,0
204,4,9,3,0,0
205,10,2,1,0,0
205,10,2,2,0,0
205,10,2,3,0,0
206,2,9,1,0,0
206,2,9,2,1,1
206,2,9,3,1,1
207,6,9,1,0,0
207,6,9,2,0,0
207,6,9,3,0,0
208,6,9,1,0,0
208,6,9,2,0,0
208,6,9,3,0,0
209,10,2,1,1,1
209,10,2,2,0,0
209,10,2,3,0,0
210,4,9,1,1,1
210,4,9,2,2,1
210,4,9,3,1,1
211,1,9,1,0,0
211,1,9,2,0,0
211,1,9,3,0,0
212,5,2,1,0,0
212,5,2,2,0,0
212,5,2,3,0,0
213,4,9,1,0,0
213,4,9,2,0,0
213,4,9,3,0,0
214,6,9,1,0,0
214,6,9,2,1,1
214,6,9,3,0,0
215,5,9,1,0,0
215,5,9,2,0,0
215,5,9,3,0,0
216,4,9,1,0,0
216,4,9,2,3,1
216,4,9,3,0,0
217,5,9,1,0,0
217,5,9,2,1,1
217,5,9,3,0,0
218,10,9,1,0,0
218,10,9,2,0,0
218,10,9,3,0,0
219,6,3,1,0,0
219,6,3,2,0,0
219,6,3,3,0,0
220,4,9,1,0,0
220,4,9,2,0,0
220,4,9,3,0,0
221,10,9,1,1,1
221,10,9,2,0,0
221,10,9,3,2,1
222,10,2,1,0,0
222,10,2,2,0,0
222,10,2,3,0,0
223,10,9,1,0,0
223,10,9,2,0,0
223,10,9,3,0,0
224,4,9,1,0,0
224,4,9,2,0,0
224,4,9,3,0,0
225,4,2,1,0,0
225,4,2,2,1,1
225,4,2,3,0,0
226,1,9,1,0,0
226,1,9,2,0,0
226,1,9,3,0,0
227,10,9,1,0,0
227,10,9,2,0,0
227,10,9,3,0,0
228,2,9,1,2,1
228,2,9,2,0,0
228,2,9,3,0,0
229,4,9,1,0,0
229,4,9,2,0,0
229,4,9,3,0,0
230,4,2,1,0,0
230,4,2,2,0,0
230,4,2,3,0,0
231,2,9,1,2,1
231,2,9,2,0,0
231,2,9,3,3,1
232,10,9,1,0,0
232,10,9,2,0,0
232,10,9,3,1,1
233,10,2,1,0,0
233,10,2,2,0,0
233,10,2,3,3,1
234,10,3,1,0,0
234,10,3,2,0,0
234,10,3,3,2,1
235,10,9,1,0,0
235,10,9,2,0,0
235,10,9,3,0,0
236,5,9,1,0,0
236,5,9,2,0,0
236,5,9,3,0,0
237,10,9,1,0,0
237,10,9,2,0,0
237,10,9,3,0,0
238,4,2,1,0,0
238,4,2,2,1,1
238,4,2,3,2,1
239,4,9,1,0,0
239,4,9,2,0,0
239,4,9,3,0,0
240,10,9,1,2,1
240,10,9,2,0,0
240,10,9,3,0,0
241,5,9,1,0,0
241,5,9,2,1,1
241,5,9,3,0,0
242,10,9,1,0,0
242,10,9,2,0,0
242,10,9,3,2,1
243,4,9,1,0,0
243,4,9,2,0,0
243,4,9,3,0,0
244,1,9,1,0,0
244,1,9,2,0,0
244,1,9,3,0,0
245,10,9,1,0,0
245,10,9,2,0,0
245,10,9,3,0,0
246,2,9,1,0,0
246,2,9,2,0,0
246,2,9,3,0,0
247,5,9,1,0,0
247,5,9,2,0,0
247,5,9,3,0,0
248,10,9,1,0,0
248,10,9,2,1,1
248,10,9,3,0,0
249,4,9,1,3,1
249,4,9,2,2,1
249,4,9,3,2,1
250,5,9,1,2,1
250,5,9,2,0,0
250,5,9,3,1,1
251,10,2,1,2,1
251,10,2,2,1,1
251,10,2,3,2,1
252,1,2,1,0,0
252,1,2,2,0,0
252,1,2,3,0,0
253,2,9,1,0,0
253,2,9,2,0,0
253,2,9,3,0,0
254,4,9,1,1,1
254,4,9,2,4,1
254,4,9,3,1,1
255,10,9,1,0,0
255,10,9,2,0,0
255,10,9,3,0,0
256,4,9,1,0,0
256,4,9,2,0,0
256,4,9,3,0,0
257,2,9,1,0,0
257,2,9,2,2,1
257,2,9,3,0,0
258,10,9,1,0,0
258,10,9,2,0,0
258,10,9,3,0,0
259,6,9,1,0,0
259,6,9,2,0,0
259,6,9,3,0,0
260,2,9,1,0,0
260,2,9,2,0,0
260,2,9,3,0,0
261,4,9,1,0,0
261,4,9,2,0,0
261,4,9,3,0,0
262,10,9,1,0,0
262,10,9,2,0,0
262,10,9,3,0,0
263,5,9,1,0,0
263,5,9,2,3,1
263,5,9,3,1,1
264,4,9,1,0,0
264,4,9,2,1,1
264,4,9,3,0,0
265,6,9,1,0,0
265,6,9,2,0,0
265,6,9,3,0,0
266,10,2,1,0,0
266,10,2,2,1,1
266,10,2,3,0,0
267,10,9,1,0,0
267,10,9,2,0,0
267,10,9,3,0,0
268,5,9,1,0,0
268,5,9,2,0,0
268,5,9,3,0,0
269,10,9,1,0,0
269,10,9,2,1,1
269,10,9,3,0,0
270,6,9,1,0,0
270,6,9,2,0,0
270,6,9,3,0,0
271,4,9,1,0,0
271,4,9,2,0,0
271,4,9,3,0,0
272,10,9,1,0,0
272,10,9,2,1,1
272,10,9,3,0,0
273,5,9,1,0,0
273,5,9,2,0,0
273,5,9,3,0,0
274,6,9,1,1,1
274,6,9,2,0,0
274,6,9,3,1,1
275,1,9,1,1,1
275,1,9,2,0,0
275,1,9,3,0,0
276,6,9,1,0,0
276,6,9,2,0,0
276,6,9,3,0,0
277,5,9,1,1,1
277,5,9,2,0,0
277,5,9,3,0,0
278,5,9,1,0,0
278,5,9,2,0,0
278,5,9,3,0,0
279,1,9,1,0,0
279,1,9,2,0,0
279,1,9,3,0,0
280,10,9,1,2,1
280,10,9,2,0,0
280,10,9,3,1,1
281,2,9,1,1,1
281,2,9,2,0,0
281,2,9,3,0,0
282,10,2,1,0,0
282,10,2,2,0,0
282,10,2,3,0,0
283,4,9,1,0,0
283,4,9,2,0,0
283,4,9,3,0,0
284,1,9,1,0,0
284,1,9,2,0,0
284,1,9,3,0,0
285,10,9,1,0,0
285,10,9,2,0,0
285,10,9,3,0,0
286,1,9,1,0,0
286,1,9,2,0,0
286,1,9,3,5,1
287,2,9,1,0,0
287,2,9,2,0,0
287,2,9,3,0,0
288,1,9,1,0,0
288,1,9,2,0,0
288,1,9,3,0,0
289,1,9,1,0,0
289,1,9,2,0,0
289,1,9,3,0,0
290,6,9,1,0,0
290,6,9,2,0,0
290,6,9,3,0,0
291,4,9,1,0,0
291,4,9,2,0,0
291,4,9,3,0,0
292,10,9,1,0,0
292,10,9,2,0,0
292,10,9,3,0,0
293,2,9,1,1,1
293,2,9,2,0,0
293,2,9,3,0,0
294,10,2,1,0,0
294,10,2,2,0,0
294,10,2,3,0,0
295,10,2,1,0,0
295,10,2,2,1,1
295,10,2,3,1,1
296,4,9,1,0,0
296,4,9,2,0,0
296,4,9,3,0,0
297,6,9,1,0,0
297,6,9,2,0,0
297,6,9,3,0,0
298,4,9,1,0,0
298,4,9,2,0,0
298,4,9,3,0,0
299,4,2,1,0,0
299,4,2,2,0,0
299,4,2,3,0,0
300,2,2,1,0,0
300,2,2,2,0,0
300,2,2,3,0,0
301,2,9,1,0,0
301,2,9,2,0,0
301,2,9,3,0,0
302,5,3,1,0,0
302,5,3,2,0,0
302,5,3,3,0,0
303,2,2,1,0,0
303,2,2,2,1,1
303,2,2,3,0,0
304,10,2,1,2,1
304,10,2,2,2,1
304,10,2,3,0,0
305,5,9,1,0,0
305,5,9,2,0,0
305,5,9,3,0,0
306,5,9,1,0,0
306,5,9,2,0,0
306,5,9,3,0,0
307,4,2,1,0,0
307,4,2,2,0,0
307,4,2,3,0,0
308,10,9,1,0,0
308,10,9,2,0,0
308,10,9,3,0,0
309,5,2,1,0,0
309,5,2,2,0,0
309,5,2,3,0,0
310,10,9,1,0,0
310,10,9,2,0,0
310,10,9,3,0,0
311,4,9,1,0,0
311,4,9,2,0,0
311,4,9,3,0,0
312,10,3,1,0,0
312,10,3,2,0,0
312,10,3,3,0,0
313,10,3,1,0,0
313,10,3,2,0,0
313,10,3,3,0,0
314,2,9,1,0,0
314,2,9,2,0,0
314,2,9,3,0,0
315,6,9,1,0,0
315,6,9,2,0,0
315,6,9,3,0,0
316,10,9,1,0,0
316,10,9,2,0,0
316,10,9,3,0,0
317,4,9,1,0,0
317,4,9,2,1,1
317,4,9,3,2,1
318,10,2,1,0,0
318,10,2,2,0,0
318,10,2,3,0,0
319,5,2,1,0,0
319,5,2,2,0,0
319,5,2,3,0,0
320,4,2,1,0,0
320,4,2,2,0,0
320,4,2,3,0,0
321,4,9,1,0,0
321,4,9,2,0,0
321,4,9,3,2,1
322,5,9,1,0,0
322,5,9,2,0,0
322,5,9,3,0,0
323,2,9,1,1,1
323,2,9,2,0,0
323,2,9,3,0,0
324,6,9,1,0,0
324,6,9,2,0,0
324,6,9,3,0,0
325,10,9,1,0,0
325,10,9,2,0,0
325,10,9,3,0,0
326,4,9,1,1,1
326,4,9,2,0,0
326,4,9,3,0,0
327,4,9,1,0,0
327,4,9,2,0,0
327,4,9,3,1,1
328,5,9,1,0,0
328,5,9,2,0,0
328,5,9,3,0,0
329,2,9,1,0,0
329,2,9,2,1,1
329,2,9,3,1,1
330,6,9,1,0,0
330,6,9,2,0,0
330,6,9,3,0,0
331,1,9,1,0,0
331,1,9,2,0,0
331,1,9,3,0,0
332,10,2,1,0,0
332,10,2,2,0,0
332,10,2,3,0,0
333,4,9,1,0,0
333,4,9,2,0,0
333,4,9,3,0,0
334,10,9,1,0,0
334,10,9,2,0,0
334,10,9,3,0,0
335,2,9,1,4,1
335,2,9,2,7,1
335,2,9,3,4,1
336,6,2,1,1,1
336,6,2,2,0,0
336,6,2,3,0,0
337,4,9,1,0,0
337,4,9,2,0,0
337,4,9,3,0,0
338,10,9,1,0,0
338,10,9,2,0,0
338,10,9,3,0,0
339,4,9,1,0,0
339,4,9,2,0,0
339,4,9,3,0,0
340,2,9,1,0,0
340,2,9,2,0,0
340,2,9,3,0,0
341,1,9,1,0,0
341,1,9,2,4,1
341,1,9,3,1,1
342,6,9,1,0,0
342,6,9,2,1,1
342,6,9,3,0,0
343,10,3,1,0,0
343,10,3,2,0,0
343,10,3,3,0,0
344,2,2,1,0,0
344,2,2,2,0,0
344,2,2,3,0,0
345,4,9,1,0,0
345,4,9,2,0,0
345,4,9,3,0,0
346,5,9,1,0,0
346,5,9,2,0,0
346,5,9,3,0,0
347,10,9,1,0,0
347,10,9,2,0,0
347,10,9,3,0,0
348,2,9,1,0,0
348,2,9,2,0,0
348,2,9,3,0,0
349,10,9,1,0,0
349,10,9,2,0,0
349,10,9,3,0,0
350,10,9,1,0,0
350,10,9,2,0,0
350,10,9,3,0,0
351,4,9,1,0,0
351,4,9,2,0,0
351,4,9,3,0,0
352,6,9,1,0,0
352,6,9,2,0,0
352,6,9,3,0,0
353,2,9,1,0,0
353,2,9,2,0,0
353,2,9,3,0,0
354,1,9,1,0,0
354,1,9,2,0,0
354,1,9,3,0,0
355,10,9,1,0,0
355,10,9,2,0,0
355,10,9,3,0,0
356,10,9,1,0,0
356,10,9,2,0,0
356,10,9,3,0,0
357,5,9,1,0,0
357,5,9,2,0,0
357,5,9,3,0,0
358,1,9,1,0,0
358,1,9,2,0,0
358,1,9,3,0,0
359,4,9,1,0,0
359,4,9,2,0,0
359,4,9,3,0,0
360,4,9,1,0,0
360,4,9,2,0,0
360,4,9,3,0,0
361,10,9,1,0,0
361,10,9,2,0,0
361,10,9,3,0,0
362,10,9,1,0,0
362,10,9,2,0,0
362,10,9,3,0,0
363,4,9,1,0,0
363,4,9,2,0,0
363,4,9,3,0,0
364,1,9,1,0,0
364,1,9,2,1,1
364,1,9,3,0,0
365,10,9,1,0,0
365,10,9,2,1,1
365,10,9,3,0,0
366,4,9,1,0,0
366,4,9,2,0,0
366,4,9,3,0,0
367,10,9,1,0,0
367,10,9,2,0,0
367,10,9,3,0,0
368,10,9,1,0,0
368,10,9,2,0,0
368,10,9,3,1,1
369,1,9,1,0,0
369,1,9,2,0,0
369,1,9,3,0,0
370,5,9,1,0,0
370,5,9,2,1,1
370,5,9,3,1,1
371,4,9,1,0,0
371,4,9,2,0,0
371,4,9,3,1,1
372,4,9,1,0,0
372,4,9,2,0,0
372,4,9,3,0,0
373,5,9,1,0,0
373,5,9,2,0,0
373,5,9,3,0,0
374,2,9,1,1,1
374,2,9,2,0,0
374,2,9,3,3,1
375,1,9,1,0,0
375,1,9,2,0,0
375,1,9,3,0,0
376,4,9,1,0,0
376,4,9,2,0,0
376,4,9,3,0,0
377,10,2,1,0,0
377,10,2,2,1,1
377,10,2,3,1,1
378,6,9,1,0,0
378,6,9,2,0,0
378,6,9,3,0,0
379,6,9,1,1,1
379,6,9,2,0,0
379,6,9,3,2,1
380,6,9,1,0,0
380,6,9,2,0,0
380,6,9,3,0,0
381,4,9,1,1,1
381,4,9,2,0,0
381,4,9,3,0,0
382,2,9,1,0,0
382,2,9,2,0,0
382,2,9,3,0,0
383,4,9,1,0,0
383,4,9,2,0,0
383,4,9,3,0,0
384,10,9,1,0,0
384,10,9,2,0,0
384,10,9,3,0,0
385,4,9,1,0,0
385,4,9,2,0,0
385,4,9,3,0,0
386,4,9,1,0,0
386,4,9,2,0,0
386,4,9,3,0,0
387,10,9,1,0,0
387,10,9,2,0,0
387,10,9,3,0,0
388,1,9,1,0,0
