kernel	class	skden	skhard	sksize	skwt	skmst	Type
141	hrw	1.15	73.27	0.95	9.84	8.39	Scab
142	hrw	1.04	98.16	1.16	9.36	8.01	Scab
143	hrw	1.07	83.20	1.70	14.93	7.55	Scab
144	hrw	1.01	54.43	1.66	14.93	8.52	Scab
145	srw	1.62	6.23	2.18	29.15	12.28	Healthy
146	srw	1.19	-0.18	1.85	28.56	12.53	Healthy
147	srw	1.23	10.52	2.59	37.92	12.26	Healthy
148	srw	1.20	-0.76	2.60	31.76	12.74	Healthy
149	srw	1.14	16.68	2.60	29.98	12.53	Healthy
150	srw	1.27	3.00	2.16	31.64	12.66	Healthy
151	srw	1.14	-5.51	2.69	39.70	12.54	Healthy
152	srw	1.24	-12.02	2.31	41.48	11.87	Healthy
153	srw	1.18	25.47	1.70	20.62	12.21	Healthy
154	srw	1.29	20.53	2.43	37.68	12.43	Healthy
155	srw	1.43	-12.94	1.86	26.31	12.44	Healthy
156	srw	1.24	3.16	2.32	38.99	12.34	Healthy
157	srw	1.26	19.56	4.31	37.09	12.11	Sprout
158	srw	1.11	-3.06	1.86	22.16	12.69	Sprout
159	srw	1.16	32.84	2.28	35.79	11.70	Sprout
160	srw	1.20	-23.44	3.16	40.05	12.37	Sprout
161	srw	1.15	38.79	3.02	33.77	12.40	Sprout
162	srw	1.26	-1.04	2.40	40.17	11.85	Sprout
163	srw	1.17	-0.99	1.83	23.34	12.72	Sprout
164	srw	1.11	5.67	2.52	28.44	12.04	Sprout
165	srw	1.15	-16.13	2.29	41.71	11.92	Sprout
166	srw	1.19	8.74	2.51	45.74	11.62	Sprout
167	srw	1.21	3.53	2.53	35.55	11.66	Sprout
168	srw	1.13	34.09	2.15	33.54	12.08	Sprout
169	srw	1.14	15.05	1.90	24.41	12.22	Scab
170	srw	1.08	-4.51	2.07	22.04	11.92	Scab
171	srw	1.17	39.00	1.96	17.06	11.54	Scab
172	srw	1.10	36.83	1.26	13.51	11.78	Scab
173	srw	1.07	22.48	2.06	21.57	12.02	Scab
174	srw	0.96	13.16	2.06	17.54	11.87	Scab
175	srw	1.16	22.43	1.49	20.03	11.90	Scab
176	srw	1.13	38.48	1.74	18.60	11.89	Scab
177	srw	1.13	22.10	2.04	18.84	12.02	Scab
178	srw	1.12	-1.38	1.54	15.64	12.24	Scab
179	srw	0.80	8.36	3.20	27.49	12.08	Scab
180	srw	0.88	24.63	1.47	15.88	11.54	Scab
181	srw	1.29	27.60	2.47	35.91	12.81	Healthy
182	srw	1.23	-11.19	2.27	44.67	13.25	Healthy
183	srw	1.29	11.38	2.00	26.19	13.52	Healthy
184	srw	1.24	-8.46	2.24	36.26	13.08	Healthy
185	srw	1.28	-12.07	1.85	26.78	13.82	Healthy
186	srw	1.30	5.56	2.88	44.56	12.92	Healthy
187	srw	1.20	77.03	2.47	29.51	12.94	Healthy
188	srw	1.35	-26.44	2.58	30.57	13.87	Healthy
189	srw	1.29	-4.91	2.16	36.97	13.31	Healthy
190	srw	1.22	-6.84	2.45	40.76	13.32	Healthy
191	srw	1.27	-1.64	1.61	22.52	13.81	Healthy
192	srw	1.33	8.51	2.23	25.95	13.30	Healthy
193	srw	0.98	-7.64	2.06	34.48	12.73	Sprout
194	srw	1.25	15.62	2.52	31.76	13.21	Sprout
195	srw	1.11	19.41	2.46	24.65	13.46	Sprout
196	srw	1.10	-2.29	2.59	38.04	12.95	Sprout
197	srw	1.17	-6.24	2.68	46.33	13.12	Sprout
198	srw	1.05	16.20	1.90	29.27	12.42	Sprout
199	srw	1.24	-6.08	2.50	31.05	13.17	Sprout
200	srw	1.28	-8.87	2.33	35.43	13.47	Sprout
201	srw	1.17	-1.31	2.69	40.88	12.99	Sprout
202	srw	1.26	11.93	2.52	38.51	12.83	Sprout
203	srw	1.24	-1.49	2.13	30.69	13.21	Sprout
204	srw	1.11	-15.96	1.97	29.86	13.62	Sprout
205	srw	1.14	13.45	1.90	21.92	13.91	Scab
206	srw	1.19	65.99	1.89	17.06	12.77	Scab
207	srw	1.14	21.00	1.42	17.78	12.95	Scab
208	srw	1.30	46.47	1.66	12.44	12.47	Scab
209	srw	1.16	24.47	1.58	13.39	14.51	Scab
210	srw	1.12	23.48	1.28	13.98	13.85	Scab
211	srw	1.32	25.60	1.79	20.62	13.33	Scab
212	srw	0.80	14.75	1.93	20.15	13.31	Scab
213	srw	1.21	6.37	2.16	24.77	13.36	Scab
214	srw	1.24	66.99	2.43	33.06	12.34	Scab
215	srw	0.98	36.56	2.17	20.38	13.09	Scab
216	srw	1.08	4.90	1.94	19.91	13.73	Scab
217	srw	1.28	-5.45	3.19	45.62	13.14	Healthy
218	srw	1.24	-1.20	2.65	38.39	13.14	Healthy
219	srw	1.23	31.07	1.85	28.44	12.52	Healthy
220	srw	1.29	66.84	2.47	29.86	11.99	Healthy
221	srw	1.27	0.87	2.49	42.30	13.05	Healthy
222	srw	1.29	-3.49	2.55	37.68	13.54	Healthy
223	srw	1.29	24.05	3.06	32.11	13.27	Healthy
224	srw	1.26	0.27	2.35	32.59	13.66	Healthy
225	srw	1.31	50.66	2.20	28.91	13.04	Healthy
226	srw	1.28	-2.24	2.57	29.15	13.40	Healthy
227	srw	1.25	15.82	2.50	40.17	13.37	Healthy
228	srw	1.31	58.58	1.95	25.00	12.98	Healthy
229	srw	1.20	0.64	2.39	28.20	12.94	Sprout
230	srw	1.17	0.52	2.51	43.25	13.08	Sprout
231	srw	1.02	50.01	3.00	34.13	11.83	Sprout
232	srw	1.21	-0.50	1.74	22.63	13.22	Sprout
233	srw	1.28	3.21	2.46	38.87	13.31	Sprout
234	srw	1.12	-0.26	2.28	26.19	12.66	Sprout
235	srw	1.22	-17.95	1.52	24.29	13.17	Sprout
236	srw	1.16	23.17	2.48	21.57	12.83	Sprout
237	srw	1.18	13.26	2.67	36.74	12.65	Sprout
238	srw	1.18	-2.94	2.02	32.82	13.34	Sprout
239	srw	1.20	-8.35	2.48	37.21	12.78	Sprout
240	srw	1.00	-3.44	1.63	19.55	12.50	Sprout
241	srw	1.22	29.76	2.67	33.77	11.98	Healthy
242	srw	1.28	16.99	2.13	25.83	12.66	Healthy
243	srw	1.30	30.37	2.94	37.68	12.11	Healthy
244	srw	1.28	43.13	2.43	27.61	11.70	Healthy
245	srw	1.20	29.07	3.17	24.89	12.13	Healthy
246	srw	1.26	6.38	2.27	35.19	12.16	Healthy
247	srw	1.26	18.40	2.03	23.82	12.27	Healthy
248	srw	1.55	25.64	2.28	27.26	12.09	Healthy
249	srw	1.34	60.26	2.15	30.10	12.23	Healthy
250	srw	1.31	24.12	2.55	41.59	12.63	Healthy
251	srw	1.34	35.30	1.62	18.84	12.70	Healthy
252	srw	1.30	34.38	1.82	20.15	12.07	Healthy
253	srw	1.24	29.33	2.19	30.81	11.93	Sprout
254	srw	1.17	29.68	1.46	21.69	11.72	Sprout
255	srw	1.25	-5.69	3.09	40.53	12.72	Sprout
256	srw	1.21	2.38	2.16	32.59	12.49	Sprout
257	srw	1.24	9.83	2.39	27.02	11.86	Sprout
258	srw	1.25	-5.87	2.68	36.50	12.93	Sprout
259	srw	1.30	2.58	2.23	40.17	11.89	Sprout
260	srw	1.23	-8.19	2.23	26.31	12.69	Sprout
261	srw	1.31	-2.84	2.45	28.20	12.51	Sprout
262	srw	1.21	8.25	2.23	30.81	12.13	Sprout
263	srw	1.18	7.36	2.01	26.19	12.62	Sprout
264	srw	1.20	14.34	1.98	32.59	12.43	Sprout
265	srw	0.84	-1.30	1.47	15.17	12.88	Scab
266	srw	1.22	69.30	1.47	17.78	12.16	Scab
267	srw	0.80	16.14	1.39	13.15	11.90	Scab
268	srw	1.41	54.24	1.74	14.22	12.79	Scab
269	srw	0.95	-1.52	0.60	13.63	12.69	Scab
270	srw	0.93	48.67	0.88	8.53	11.81	Scab
271	srw	1.25	40.55	2.09	20.50	11.89	Scab
272	srw	1.22	38.50	1.78	17.42	12.17	Scab
273	srw	1.27	29.59	2.04	23.82	12.45	Scab
274	srw	0.85	34.07	1.41	12.09	11.93	Scab
275	srw	1.18	60.98	1.06	9.48	12.24	Scab
276	srw	1.03	-9.57	2.06	23.82	12.65	Scab
